 ,Label,Area,Mean,X,Y
102,C2-1-BeWo NS- DMSO-3-20x.tif,201.811,413.098,2430.086,2941.698
103,C2-1-BeWo NS- DMSO-3-20x.tif,68.282,298.156,1112.811,2939.570
104,C2-1-BeWo NS- DMSO-3-20x.tif,133.529,2676.602,305.253,2981.700
105,C2-1-BeWo NS- DMSO-3-20x.tif,121.390,647.987,2215.441,3008.424
106,C2-1-BeWo NS- DMSO-3-20x.tif,133.529,2712.489,292.543,3019.635
107,C2-1-BeWo NS- DMSO-3-20x.tif,107.734,629.915,2089.676,3019.716
108,C2-1-BeWo NS- DMSO-3-20x.tif,91.043,1288.883,2071.036,3026.988
109,C2-1-BeWo NS- DMSO-3-20x.tif,148.703,1146.541,2086.901,3032.209
110,C2-1-BeWo NS- DMSO-3-20x.tif,18.209,735.750,283.318,3032.121
111,C2-1-BeWo NS- DMSO-3-20x.tif,13.656,1194.778,2130.430,3035.816
